Title,Rating,Voting,Duration,Genre_Title
355. Eleonora Abbagnato - Una stella che danza,,,,Biography
"356. Lupicinio Rodrigues, Confissões de um Sofredor",7.0, (5),1h 39m,Biography
357. Roman Kostomarov. Rozhdennyy dvazhdy,,,,Biography
358. Maçãs no Escuro,,,,Biography
359. Interviews with Abdelkrim Baba Aïssa,,,,Biography
360. Samuel: Hollywood vs. Hollywood,,,,Biography
361. Pellizza pittore da Volpedo,,,,Biography
"362. Milva, diva per sempre",,,,Biography
363. Frida Khalo Woman Experiences,,,,Biography
364. Herman Brood and His Wild Romance,,,,Biography
365. Mi última Gran Montaña,,,,Biography
366. Norma: rosso sangue,,,,Biography
367. La nostra magnifica ossessione - Bernardo Bertolucci e la sua generazione,,,,Biography
368. YA - Sergey Obraztsov,,,,Biography
369. Carles Sabater. No espereu res de mi,8.1, (19),1h 15m,Biography
370. Making Life Sing in Pursuit of Utu: The Micere Githae Mugo Story,,,,Biography
371. La nostra Raffaella,,,,Biography
372. I am the girl 3 me and my girlfriend,,,,Biography
373. The Ballad of John and Yoko,8.4, (16),1h 41m,Biography
374. Brev til Håkon Banken,8.1, (28),1h 20m,Biography
375. Bob Noto - The World's Finest Palate,,,,Biography
376. Gevart,7.3, (69),34m,Biography
377. Veljko od mora,7.2, (16),53m,Biography
378. Destiny or Will. Marusia,8.9, (16),,Biography
379. Freak Out: The Joel M. Reed Story,,,,Biography
380. Um Tempo de Todos,,,,Biography
381. The Artistry of Dean Irby,,,,Biography
382. Domenico Modugno - L'italiano che incantò il mondo,,,,Biography
383. I am the girl 2 and my black belt,,,,Biography
384. Giannis Spanos: Piso ap' ti markiza,7.6, (14),1h 58m,Biography
385. Mr Bakhshdar,,,,Biography
386. Queen Elizabeth II: Before the Crown,,,,Biography
387. Italo Calvino nelle città,,,,Biography
388. Janani: The Last Stand,,,,Biography
389. Rinnans rival,,,,Biography
390. Another Part of Me,,,,Biography
391. Luis Terror Días,,,,Biography
392. Die Hahnenkammbahn,,,,Biography
393. Alzheimer mezhdu baba i men,,,,Biography
394. Illuminate - Monica Vitti - La donna che visse due volte,,,,Biography
395. Mary Pickford's Kiss,,,,Biography
396. A Serena Onda que o Mar me Trouxe,,,,Biography
"397. Señor Jazz, la película de Carlos Inzillo",,,,Biography
398. I am the girl: this is my childhood until I wake up,,,,Biography
399. Seu Cavalcanti,,,,Biography
"400. Nemere István: addig írok, amíg élek",,,,Biography
