Title,Rating,Voting,Duration,Genre_Title
359. Sam and Colby: The Legends of the Paranormal,4.8, (303),1h 38m,Adventure
360. The Trail,7.2, (18),1h 20m,Adventure
361. Dogman Territory: Werewolves in the Land Between the Lakes,5.4, (31),,Adventure
362. The Cold Father,7.0, (17),,Adventure
363. Dans l'ombre de Marlow,,,,Adventure
364. Manyunya. Priklyucheniya v derevne,5.9, (114),1h 24m,Adventure
365. Warrior Awang and Master Tok Gajah,4.6, (473),1h 58m,Adventure
366. A Christmas Carol,9.8, (11),39m,Adventure
367. Nothing Unusual,9.7, (12),1h 32m,Adventure
368. Petualangan Anak Penangkap Hantu,6.0, (23),1h 39m,Adventure
369. Tapori Nayak,8.7, (18),,Adventure
370. Mountain Boy,8.2, (17),1h 33m,Adventure
371. Knight,,,,Adventure
372. The Puffins & the Magic Portal,7.5, (29),,Adventure
373. Lo carga el diablo,7.7, (21),1h 44m,Adventure
374. Manyunya. Priklyucheniya v Moskve,5.7, (107),1h 27m,Adventure
375. STEVE (A Minecraft Movie),,,,Adventure
376. Target Jeremy,,,,Adventure
377. Poklad,4.6, (33),1h 40m,Adventure
378. Antarctic Voyage,6.8, (6),48m,Adventure
379. The Artifact,,,,Adventure
380. Tri bogatyrya. Ni dnya bez podviga,5.7, (62),1h 1m,Adventure
381. Frankenstein Theater: The Magic Sword,4.7, (21),1h 22m,Adventure
382. Dakar Chronicles,,,,Adventure
383. Moy dikiy drug,6.7, (52),1h 40m,Adventure
384. Quantum Supremacy,,,,Adventure
385. The Ghost of Annie Lee,,,,Adventure
386. Beyond existence,5.8, (10),1h 35m,Adventure
387. Príncipe Lu e a Lenda do Dragão,4.2, (27),1h 30m,Adventure
388. Chyortov kamen,6.4, (9),1h 45m,Adventure
389. Goodbye Hamdi,6.2, (8),1h 25m,Adventure
390. Fatal Expedition,3.9, (24),,Adventure
391. Tayna Chyornoy Ruki,5.7, (22),1h 24m,Adventure
392. My Only Relative.,,,,Adventure
393. The Space in Between,,,,Adventure
394. Mr Zoo Keeper,8.1, (15),,Adventure
395. The Last Five Days: The Freak Building,3.7, (56),1h 1m,Adventure
396. The Ballad of Straw Hat Sam,9.2, (10),45m,Adventure
397. Changle Zhen Gui Shi,,,,Adventure
398. YA - medved,4.9, (61),1h 37m,Adventure
